Rank,City,Summary
1,Topeka,"Cost of Living Value: 85.6, Crime Cost Value: 2910.0, Air Quality Value: nan"
2,Wichita Falls,"Cost of Living Value: 85.7, Crime Cost Value: 2653.0, Air Quality Value: nan"
3,Shreveport,"Cost of Living Value: 85.8, Crime Cost Value: 4589.0, Air Quality Value: nan"
4,Rockford,"Cost of Living Value: 87.2, Crime Cost Value: 3628.0, Air Quality Value: nan"
5,Springfield,"Cost of Living Value: 87.5, Crime Cost Value: 2191.0, Air Quality Value: nan"
6,Toledo,"Cost of Living Value: 87.5, Crime Cost Value: 4652.0, Air Quality Value: nan"
7,Oklahoma City,"Cost of Living Value: 87.3, Crime Cost Value: 2328.0, Air Quality Value: nan"
8,South Bend,"Cost of Living Value: 87.2, Crime Cost Value: 4427.0, Air Quality Value: nan"
9,Davenport,"Cost of Living Value: 87.2, Crime Cost Value: 1819.0, Air Quality Value: nan"
10,Evansville,"Cost of Living Value: 87.2, Crime Cost Value: 3969.0, Air Quality Value: nan"
11,Fort Wayne,"Cost of Living Value: 86.8, Crime Cost Value: 1447.0, Air Quality Value: nan"
12,Wichita,"Cost of Living Value: 86.8, Crime Cost Value: 2586.0, Air Quality Value: nan"
13,Tulsa,"Cost of Living Value: 86.7, Crime Cost Value: 3405.0, Air Quality Value: nan"
14,Peoria,"Cost of Living Value: 86.7, Crime Cost Value: 4649.0, Air Quality Value: nan"
15,Springfield,"Cost of Living Value: 86.7, Crime Cost Value: 3647.0, Air Quality Value: nan"
16,Columbus,"Cost of Living Value: 88.5, Crime Cost Value: 2168.0, Air Quality Value: nan"
17,Las Cruces,"Cost of Living Value: 88.8, Crime Cost Value: 2406.0, Air Quality Value: nan"
18,Lubbock,"Cost of Living Value: 88.8, Crime Cost Value: 3057.0, Air Quality Value: nan"
19,Lansing,"Cost of Living Value: 88.7, Crime Cost Value: 3719.0, Air Quality Value: nan"
20,Clarksville,"Cost of Living Value: 88.7, Crime Cost Value: 1679.0, Air Quality Value: nan"
21,Beaumont,"Cost of Living Value: 88.6, Crime Cost Value: 3751.0, Air Quality Value: nan"
22,El Paso,"Cost of Living Value: 88.6, Crime Cost Value: 983.0, Air Quality Value: nan"
23,Killeen,"Cost of Living Value: 88.6, Crime Cost Value: 2391.0, Air Quality Value: nan"
24,Little Rock,"Cost of Living Value: 88.0, Crime Cost Value: 7781.0, Air Quality Value: nan"
25,Dayton,"Cost of Living Value: 88.4, Crime Cost Value: 5146.0, Air Quality Value: nan"
26,Mobile,"Cost of Living Value: 88.3, Crime Cost Value: 3647.0, Air Quality Value: nan"
27,Amarillo,"Cost of Living Value: 88.2, Crime Cost Value: 2811.0, Air Quality Value: nan"
28,Memphis,"Cost of Living Value: 88.2, Crime Cost Value: 9056.0, Air Quality Value: nan"
29,Cedar Rapids,"Cost of Living Value: 88.1, Crime Cost Value: 1534.0, Air Quality Value: nan"
30,Brownsville,"Cost of Living Value: 87.8, Crime Cost Value: 1000.0, Air Quality Value: nan"
31,Jackson,"Cost of Living Value: 87.8, Crime Cost Value: 2670.0, Air Quality Value: nan"
32,St. Louis,"Cost of Living Value: 89.6, Crime Cost Value: 11055.0, Air Quality Value: nan"
33,Indianapolis,"Cost of Living Value: 90.2, Crime Cost Value: 4515.0, Air Quality Value: nan"
34,Laredo,"Cost of Living Value: 90.1, Crime Cost Value: 1105.0, Air Quality Value: nan"
35,Cleveland,"Cost of Living Value: 90.0, Crime Cost Value: 7397.0, Air Quality Value: nan"
36,Columbia,"Cost of Living Value: 89.8, Crime Cost Value: 1981.0, Air Quality Value: nan"
37,Lafayette,"Cost of Living Value: 89.6, Crime Cost Value: 3106.0, Air Quality Value: nan"
38,Fayetteville,"Cost of Living Value: 89.5, Crime Cost Value: 3635.0, Air Quality Value: nan"
39,Akron,"Cost of Living Value: 89.4, Crime Cost Value: 3985.0, Air Quality Value: nan"
40,Abilene,"Cost of Living Value: 89.1, Crime Cost Value: 1580.0, Air Quality Value: nan"
41,Waco,"Cost of Living Value: 89.5, Crime Cost Value: 2421.0, Air Quality Value: nan"
42,Columbia,"Cost of Living Value: 91.9, Crime Cost Value: 2187.0, Air Quality Value: nan"
43,Chattanooga,"Cost of Living Value: 91.2, Crime Cost Value: 3647.0, Air Quality Value: nan"
44,Louisville,"Cost of Living Value: 91.6, Crime Cost Value: 4395.0, Air Quality Value: nan"
45,Kansas City,"Cost of Living Value: 91.6, Crime Cost Value: 6398.0, Air Quality Value: nan"
46,Knoxville,"Cost of Living Value: 91.6, Crime Cost Value: 3521.0, Air Quality Value: nan"
47,Fargo,"Cost of Living Value: 91.4, Crime Cost Value: 1780.0, Air Quality Value: nan"
48,Green Bay,"Cost of Living Value: 91.4, Crime Cost Value: 1495.0, Air Quality Value: nan"
49,Winston-Salem,"Cost of Living Value: 91.2, Crime Cost Value: 3365.0, Air Quality Value: nan"
50,Baton Rouge,"Cost of Living Value: 91.1, Crime Cost Value: 5388.0, Air Quality Value: nan"
51,Lexington,"Cost of Living Value: 91.1, Crime Cost Value: 1853.0, Air Quality Value: nan"
52,Tuscaloosa,"Cost of Living Value: 91.0, Crime Cost Value: 2530.0, Air Quality Value: nan"
53,Greensboro,"Cost of Living Value: 91.0, Crime Cost Value: 2962.0, Air Quality Value: nan"
54,Birmingham,"Cost of Living Value: 90.7, Crime Cost Value: 11392.0, Air Quality Value: nan"
55,Omaha,"Cost of Living Value: 92.9, Crime Cost Value: 1829.0, Air Quality Value: nan"
56,Columbus,"Cost of Living Value: 93.9, Crime Cost Value: 2683.0, Air Quality Value: nan"
57,Milwaukee,"Cost of Living Value: 93.8, Crime Cost Value: 7029.0, Air Quality Value: nan"
58,Grand Rapids,"Cost of Living Value: 93.7, Crime Cost Value: 2872.0, Air Quality Value: nan"
59,Corpus Christi,"Cost of Living Value: 93.3, Crime Cost Value: 2942.0, Air Quality Value: nan"
60,Detroit,"Cost of Living Value: 93.2, Crime Cost Value: 9281.0, Air Quality Value: nan"
61,Pittsburgh,"Cost of Living Value: 93.1, Crime Cost Value: 4418.0, Air Quality Value: nan"
62,Albuquerque,"Cost of Living Value: 92.9, Crime Cost Value: 4916.0, Air Quality Value: nan"
63,Syracuse,"Cost of Living Value: 95.1, Crime Cost Value: 2856.0, Air Quality Value: nan"
64,Sioux Falls,"Cost of Living Value: 92.8, Crime Cost Value: 1439.0, Air Quality Value: nan"
65,Tyler,"Cost of Living Value: 92.8, Crime Cost Value: 2247.0, Air Quality Value: nan"
66,San Antonio,"Cost of Living Value: 92.7, Crime Cost Value: 3619.0, Air Quality Value: nan"
67,Odessa,"Cost of Living Value: 92.7, Crime Cost Value: 1827.0, Air Quality Value: nan"
68,New Orleans,"Cost of Living Value: 92.4, Crime Cost Value: 11094.0, Air Quality Value: nan"
69,Cincinnati,"Cost of Living Value: 92.4, Crime Cost Value: 4324.0, Air Quality Value: nan"
70,College Station,"Cost of Living Value: 92.3, Crime Cost Value: 633.0, Air Quality Value: nan"
71,Pueblo,"Cost of Living Value: 92.2, Crime Cost Value: 5979.0, Air Quality Value: nan"
72,Lincoln,"Cost of Living Value: 94.7, Crime Cost Value: 1288.0, Air Quality Value: nan"
73,Billings,"Cost of Living Value: 95.7, Crime Cost Value: 3008.0, Air Quality Value: nan"
74,Houston,"Cost of Living Value: 95.8, Crime Cost Value: 4098.0, Air Quality Value: nan"
75,Tucson,"Cost of Living Value: 97.7, Crime Cost Value: 2779.0, Air Quality Value: nan"
76,Wilmington,"Cost of Living Value: 99.0, Crime Cost Value: 2200.0, Air Quality Value: nan"
77,Virginia Beach,"Cost of Living Value: 99.0, Crime Cost Value: 773.0, Air Quality Value: nan"
78,Allentown,"Cost of Living Value: 98.9, Crime Cost Value: 1416.0, Air Quality Value: nan"
79,St. George,"Cost of Living Value: 98.0, Crime Cost Value: 712.0, Air Quality Value: nan"
80,Midland,"Cost of Living Value: 97.8, Crime Cost Value: 2114.0, Air Quality Value: nan"
81,Dallas,"Cost of Living Value: 98.5, Crime Cost Value: 2834.0, Air Quality Value: nan"
82,Buffalo,"Cost of Living Value: 97.3, Crime Cost Value: 4132.0, Air Quality Value: nan"
83,Savannah,"Cost of Living Value: 97.3, Crime Cost Value: 4037.0, Air Quality Value: nan"
84,Gainesville,"Cost of Living Value: 97.3, Crime Cost Value: 2473.0, Air Quality Value: nan"
85,Rochester,"Cost of Living Value: 97.3, Crime Cost Value: 614.0, Air Quality Value: nan"
86,Rochester,"Cost of Living Value: 96.6, Crime Cost Value: 4963.0, Air Quality Value: nan"
87,Atlanta,"Cost of Living Value: 100.3, Crime Cost Value: 5502.0, Air Quality Value: nan"
88,Bakersfield,"Cost of Living Value: 102.9, Crime Cost Value: 2160.0, Air Quality Value: nan"
89,Colorado Springs,"Cost of Living Value: 102.2, Crime Cost Value: 2388.0, Air Quality Value: nan"
90,Charleston,"Cost of Living Value: 101.7, Crime Cost Value: 1330.0, Air Quality Value: nan"
91,Tampa,"Cost of Living Value: 101.4, Crime Cost Value: 2149.0, Air Quality Value: nan"
92,Orlando,"Cost of Living Value: 101.4, Crime Cost Value: 2721.0, Air Quality Value: nan"
93,Port St. Lucie,"Cost of Living Value: 101.1, Crime Cost Value: 536.0, Air Quality Value: nan"
94,Spokane,"Cost of Living Value: 100.4, Crime Cost Value: 2343.0, Air Quality Value: nan"
95,Raleigh,"Cost of Living Value: 99.7, Crime Cost Value: 1987.0, Air Quality Value: nan"
96,Chicago,"Cost of Living Value: 100.1, Crime Cost Value: 3553.0, Air Quality Value: nan"
97,Durham,"Cost of Living Value: 99.8, Crime Cost Value: 2890.0, Air Quality Value: nan"
98,Madison,"Cost of Living Value: 99.5, Crime Cost Value: 879.0, Air Quality Value: nan"
99,Ann Arbor,"Cost of Living Value: 99.3, Crime Cost Value: 696.0, Air Quality Value: nan"
100,Richmond,"Cost of Living Value: 99.2, Crime Cost Value: 3788.0, Air Quality Value: nan"
101,Jacksonville,"Cost of Living Value: 99.0, Crime Cost Value: 2838.0, Air Quality Value: nan"
102,Springfield,"Cost of Living Value: 106.5, Crime Cost Value: 2450.0, Air Quality Value: nan"
103,Manchester,"Cost of Living Value: 109.6, Crime Cost Value: 1286.0, Air Quality Value: nan"
104,Fort Collins,"Cost of Living Value: 109.2, Crime Cost Value: 810.0, Air Quality Value: nan"
105,Eugene,"Cost of Living Value: 108.4, Crime Cost Value: 1043.0, Air Quality Value: nan"
106,New Haven,"Cost of Living Value: 107.7, Crime Cost Value: 2260.0, Air Quality Value: nan"
107,Reno,"Cost of Living Value: 107.4, Crime Cost Value: 1582.0, Air Quality Value: nan"
108,Baltimore,"Cost of Living Value: 107.0, Crime Cost Value: 8160.0, Air Quality Value: nan"
109,Austin,"Cost of Living Value: 106.6, Crime Cost Value: 1909.0, Air Quality Value: nan"
110,Fresno,"Cost of Living Value: 105.9, Crime Cost Value: 2780.0, Air Quality Value: nan"
111,Philadelphia,"Cost of Living Value: 103.4, Crime Cost Value: 5570.0, Air Quality Value: nan"
112,Greeley,"Cost of Living Value: 106.1, Crime Cost Value: 2008.0, Air Quality Value: nan"
113,Salem,"Cost of Living Value: 105.8, Crime Cost Value: 1385.0, Air Quality Value: nan"
114,Minneapolis,"Cost of Living Value: 105.4, Crime Cost Value: 4202.0, Air Quality Value: nan"
115,Hartford,"Cost of Living Value: 104.8, Crime Cost Value: 4644.0, Air Quality Value: nan"
116,Phoenix,"Cost of Living Value: 104.3, Crime Cost Value: 2949.0, Air Quality Value: nan"
117,Visalia,"Cost of Living Value: 103.6, Crime Cost Value: 1652.0, Air Quality Value: nan"
118,Salt Lake City,"Cost of Living Value: 105.9, Crime Cost Value: 2783.0, Air Quality Value: nan"
119,San Diego,"Cost of Living Value: 136.2, Crime Cost Value: 1206.0, Air Quality Value: nan"
120,Seattle,"Cost of Living Value: 124.6, Crime Cost Value: 2394.0, Air Quality Value: nan"
121,Vallejo,"Cost of Living Value: 125.2, Crime Cost Value: 3755.0, Air Quality Value: nan"
122,New York,"Cost of Living Value: 128.0, Crime Cost Value: 1722.0, Air Quality Value: nan"
123,Ventura,"Cost of Living Value: 132.2, Crime Cost Value: 754.0, Air Quality Value: nan"
124,Boston,"Cost of Living Value: 132.6, Crime Cost Value: 1787.0, Air Quality Value: nan"
125,Santa Rosa,"Cost of Living Value: 141.7, Crime Cost Value: 1361.0, Air Quality Value: nan"
126,Salinas,"Cost of Living Value: 138.3, Crime Cost Value: 1824.0, Air Quality Value: nan"
127,Los Angeles,"Cost of Living Value: 140.6, Crime Cost Value: 2539.0, Air Quality Value: nan"
128,Santa Maria,"Cost of Living Value: 143.0, Crime Cost Value: 2252.0, Air Quality Value: nan"
129,Honolulu,"Cost of Living Value: 158.0, Crime Cost Value: 832.0, Air Quality Value: nan"
130,Washington,"Cost of Living Value: 120.1, Crime Cost Value: 4641.0, Air Quality Value: nan"
131,Sacramento,"Cost of Living Value: 120.3, Crime Cost Value: 2638.0, Air Quality Value: nan"
132,San Jose,"Cost of Living Value: 173.5, Crime Cost Value: 1472.0, Air Quality Value: nan"
133,Stamford,"Cost of Living Value: 119.2, Crime Cost Value: 514.0, Air Quality Value: nan"
134,Boulder,"Cost of Living Value: 118.7, Crime Cost Value: 1601.0, Air Quality Value: nan"
135,Portland,"Cost of Living Value: 116.5, Crime Cost Value: 3319.0, Air Quality Value: nan"
136,Riverside,"Cost of Living Value: 116.1, Crime Cost Value: 1580.0, Air Quality Value: nan"
137,Bend,"Cost of Living Value: 115.9, Crime Cost Value: 578.0, Air Quality Value: nan"
138,Stockton,"Cost of Living Value: 113.6, Crime Cost Value: 3504.0, Air Quality Value: nan"
139,Worcester,"Cost of Living Value: 113.2, Crime Cost Value: 1595.0, Air Quality Value: nan"
140,Modesto,"Cost of Living Value: 112.3, Crime Cost Value: 1795.0, Air Quality Value: nan"
141,Denver,"Cost of Living Value: 112.1, Crime Cost Value: 3678.0, Air Quality Value: nan"
142,Providence,"Cost of Living Value: 111.5, Crime Cost Value: 1107.0, Air Quality Value: nan"
143,Anchorage,"Cost of Living Value: 110.7, Crime Cost Value: 3264.0, Air Quality Value: nan"
144,Chico,"Cost of Living Value: 110.5, Crime Cost Value: 1158.0, Air Quality Value: nan"
145,Miami,"Cost of Living Value: 110.1, Crime Cost Value: 2319.0, Air Quality Value: nan"
146,San Francisco,"Cost of Living Value: 178.6, Crime Cost Value: 2092.0, Air Quality Value: nan"
